entity1,entity2,weight,dates
Jalpally,Pahadesharif,1,08-2020
Gowtam Rao,Jalpally,1,08-2020
Jalpally,K Anand,1,08-2020
Durga Nagar,Jalpally,1,08-2020
Gowtam Rao,Pahadesharif,1,08-2020
K Anand,Pahadesharif,1,08-2020
Durga Nagar,Pahadesharif,1,08-2020
Gowtam Rao,K Anand,1,08-2020
Durga Nagar,Gowtam Rao,1,08-2020
Durga Nagar,K Anand,1,08-2020
Gollapudi,VIJAYAWADA,1,08-2020
VIJAYAWADA,Vijayawada,1,08-2020
Nuzividu,VIJAYAWADA,1,08-2020
Bhavanipuram,VIJAYAWADA,1,08-2020
Jaggiahpet,VIJAYAWADA,1,08-2020
VIJAYAWADA,Vasthralatha,1,08-2020
Gudivada,VIJAYAWADA,2,"08-2020, 12-2020"
Thotlavalluru,VIJAYAWADA,1,08-2020
Gollapudi,Vijayawada,1,08-2020
Gollapudi,Nuzividu,1,08-2020
Bhavanipuram,Gollapudi,1,08-2020
Gollapudi,Jaggiahpet,1,08-2020
Gollapudi,Vasthralatha,1,08-2020
Gollapudi,Gudivada,1,08-2020
Gollapudi,Thotlavalluru,1,08-2020
Nuzividu,Vijayawada,1,08-2020
Bhavanipuram,Vijayawada,1,08-2020
Jaggiahpet,Vijayawada,1,08-2020
Vasthralatha,Vijayawada,1,08-2020
Gudivada,Vijayawada,1,08-2020
Thotlavalluru,Vijayawada,1,08-2020
Bhavanipuram,Nuzividu,1,08-2020
Jaggiahpet,Nuzividu,1,08-2020
Nuzividu,Vasthralatha,1,08-2020
Gudivada,Nuzividu,1,08-2020
Nuzividu,Thotlavalluru,1,08-2020
Bhavanipuram,Jaggiahpet,1,08-2020
Bhavanipuram,Vasthralatha,1,08-2020
Bhavanipuram,Gudivada,1,08-2020
Bhavanipuram,Thotlavalluru,1,08-2020
Jaggiahpet,Vasthralatha,1,08-2020
Gudivada,Jaggiahpet,1,08-2020
Jaggiahpet,Thotlavalluru,1,08-2020
Gudivada,Vasthralatha,1,08-2020
Thotlavalluru,Vasthralatha,1,08-2020
Gudivada,Thotlavalluru,1,08-2020
Dadaji,Parwe,1,08-2020
BJP,Dadaji,1,08-2020
Dadaji,Umred Sudhir,1,08-2020
Dadaji,IFA,1,08-2020
Dadaji,Maharashtra,1,08-2020
Dadaji,NAGPUR,1,08-2020
Centre,Dadaji,1,08-2020
BJP,Parwe,1,08-2020
Parwe,Umred Sudhir,1,08-2020
IFA,Parwe,1,08-2020
Maharashtra,Parwe,1,08-2020
