entity,type
Harpal Singh Cheema,DIR
Sanyukt Sangharsh Party,ORG
Motera,GPE
Liaquat Chattha,PERSON
the Sunny Oberoi Vivek Sadan,ORG
Supriya Sule Supriya Sule,PERSON
Uttarakhand,GPE
Ayodhya,GPE
Sunaina Chautala--,PERSON
Data Singh Wala,GPE
M S Swaminathan's,PERSON
Akhilesh Yadav,POL
"""Gian Singh",PERSON
Jyoti Mirdha,DIR
The Bharti Kisan Union,ORG
Sanjeev Verma,DIR
Naresh Kumar,PERSON
Sanyukt Kisan Morcha,ORG
Kotru,PERSON
Palwa village,GPE
Lok Sabha Elections,ORG
Bharatiya Kisan Union,ORG
Dhindsa,PERSON
R Mariappan,PERSON
Tirunelveli,GPE
The Shiromani Akali Dal,ORG
Rawalpindi,GPE
the National Democratic Alliance,ORG
Subhkaran,PERSON
TOI,ORG
Lok Janshakti Party,ORG
Sanjay Leela Bhansali,PERSON
New York City,GPE
Luharli,GPE
Kashinath Khode,PERSON
Rajindra,GPE
Mullanpur,GPE
